aktifitas,tanggal,kategori,catatan,isPengeluaran,jumlah
Galdan,2023-10-03,['Jajan'],Galdan punya Mawaddah,True,20000
Uang Bulanan,2023-10-02,['Gajian'],"Uang kiriman 1.000.000, tarik di atm 800.000 tapi yang keluar cuma 700.000",False,700000
Galon & Mie,2023-10-03,['Makan'],,True,13000
Nasi kuning,2023-10-03,['Makan'],Nasi kuning ayam krispi,True,10000
Uang bulan lalu,2023-10-02,['Gajian'],"Uang sisa bulan lalu dari kak Zul 300.000, 1/3nya dimasukkan di tabungan",False,200000
Mie & Minuman,2023-10-04,['Makan'],,True,10000
Uang dari Bapak,2023-10-06,['Hadiah'],"Uang sisanya bapak, besok mau balik. Dia tinggal sisa uang ongkir saja.",False,400000
Iuran Perumahan,2023-10-07,['Iuran'],,True,50000
Beli Bensin,2023-10-05,['Kuliah'],,True,10000
Big Saving,2023-10-09,['Tabungan'],Uang 400 dari bapak kumasukkan 100 di saving dan 300nya ke big saving,True,300000
Pimjam dulu 100,2023-10-09,['Pinjam'],"Dipinjam Tullah, besok katanya dikembalikan",True,100000
Telur & tusuk telinga,2023-10-09,['Belanja'],"Telur 55.000, tusuk telinga 4.500",True,59500
Bensin,2023-10-10,['Kuliah'],,True,20000
Print Jurnal,2023-10-10,['Kuliah'],Print 3 jurnal,True,19000
Jajan,2023-10-10,['Kuliah'],Beli pilus dan air mineral,True,3000
Ckck makan,2023-10-11,['Makan'],Uang ckck makan malam di rumahnya Ari,True,20000
Utang,2023-10-12,['Pinjam'],Tulla lunasi utang,False,100000
Tambal Ban,2023-10-13,['Belanja'],,True,15000
Nasi Kuning & Donat,2023-10-13,['Makan'],"Nasi kuning 2, Donat 5",True,15000
Bensin,2023-10-13,['Kuliah'],,True,20000
Jajan,2023-10-13,"['Jajan', 'Kuliah']","Popice 5000, bembeng 2500, kopicup 1000, relaxa 500",True,9000
Beli Mie,2023-10-13,['Makan'],,True,10000
Ayam krispi,2023-10-14,"['Kuliah', 'Makan']",Makan siang di kampus habis workshop,True,10000
Makan Siang,2023-10-16,"['Kuliah', 'Makan']",,True,10000
